code,occ_title,degree_required,work_exp_required,fod1p,major,major_category,total,employed,emp_full_time_year_round,unemployed,unemployment_rate,median,p25th,p75th,occ_industry
17-1022,Surveyors,Bachelor's degree,None,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843855999999994,80000,59000,110000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,97000,60000,125000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,1401,ARCHITECTURE,Engineering,294692,216770,163020,20394,0.085991129,63000,40400,93500.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,65000,45000,100000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,70000,50000,95000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,63000,40000,93000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,70000,48000,98000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031610999999994,92000,52000,124000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0.0,85000,55000,125000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.06715942400000001,95000,65000,128000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,125000,75000,210000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,96000,65000,123000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,80000,60000,107000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589000000005,78000,55000,105000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,78000,50000,102000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,75000,50000,101000.0,Architecture and Engineering Occupations
17-1022,Surveyors,Bachelor's degree,None,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261360999999994,86000,60000,120000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,75000,50000,101000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2499,MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,0.058821008,70000,50000,100000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,65000,45000,100000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,0.059731114,78000,55000,105000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,78000,50000,102000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031610999999994,92000,52000,124000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843855999999994,80000,59000,110000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261360999999994,86000,60000,120000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974060999999994,62000,40000,91000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,70000,50000,95000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,0.058384094000000004,67000,46900,91000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,1401,ARCHITECTURE,Engineering,294692,216770,163020,20394,0.085991129,63000,40400,93500.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,0.054658255999999995,74000,50000,107000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,70000,48000,98000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2401,AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,0.041971309000000005,80000,58000,110000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,96000,65000,123000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2400,GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,0.047688237,75000,50000,100000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2408,ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,0.050508789000000005,88000,60000,116000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,97000,60000,125000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,63000,40000,93000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,125000,75000,210000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0.0,85000,55000,125000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.06715942400000001,95000,65000,128000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,0.043533273,60000,40000,82000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,5008,MATERIALS SCIENCE,Engineering,7208,5866,4505,134,0.022333332999999997,75000,60000,100000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,80000,60000,107000.0,Architecture and Engineering Occupations
17-2011,Aerospace engineers,Bachelor's degree,None,2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589000000005,78000,55000,105000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,29348,24190,21273,1101,0.043533273,60000,40000,82000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,65000,45000,100000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,80000,60000,107000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2408,ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,0.050508789000000005,88000,60000,116000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2400,GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,0.047688237,75000,50000,100000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,47098,27275,22104,1577,0.054658255999999995,74000,50000,107000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,5008,MATERIALS SCIENCE,Engineering,7208,5866,4505,134,0.022333332999999997,75000,60000,100000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.06715942400000001,95000,65000,128000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2415,METALLURGICAL ENGINEERING,Engineering,12818,6939,5462,326,0.044872677,96000,65000,123000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843855999999994,80000,59000,110000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2401,AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,0.041971309000000005,80000,58000,110000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,82142,65401,57266,3431,0.049846002,70000,48000,98000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,70000,50000,95000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974060999999994,62000,40000,91000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261360999999994,86000,60000,120000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,94697,73737,64157,4572,0.058384094000000004,67000,46900,91000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2416,MINING AND MINERAL ENGINEERING,Engineering,10746,7416,6419,366,0.047031610999999994,92000,52000,124000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,78000,50000,102000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2499,MISCELLANEOUS ENGINEERING,Engineering,57006,43906,37194,2744,0.058821008,70000,50000,100000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,1401,ARCHITECTURE,Engineering,294692,216770,163020,20394,0.085991129,63000,40400,93500.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589000000005,78000,55000,105000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,0.059731114,78000,55000,105000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2419,PETROLEUM ENGINEERING,Engineering,19631,14002,11636,617,0.042205349,125000,75000,210000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0.0,85000,55000,125000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2500,ENGINEERING TECHNOLOGIES,Engineering,37382,30102,25651,1475,0.046711214,63000,40000,93000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,75000,50000,101000.0,Architecture and Engineering Occupations
17-2021,Agricultural engineers,Bachelor's degree,None,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,16094,10690,9226,449,0.040308825,97000,60000,125000.0,Architecture and Engineering Occupations
17-2031,Biomedical engineers,Bachelor's degree,None,2414,MECHANICAL ENGINEERING,Engineering,581529,422207,362053,19360,0.043843855999999994,80000,59000,110000.0,Architecture and Engineering Occupations
17-2031,Biomedical engineers,Bachelor's degree,None,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000.0,Architecture and Engineering Occupations
17-2031,Biomedical engineers,Bachelor's degree,None,2418,NUCLEAR ENGINEERING,Engineering,9826,7320,6474,527,0.06715942400000001,95000,65000,128000.0,Architecture and Engineering Occupations
17-2031,Biomedical engineers,Bachelor's degree,None,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261360999999994,86000,60000,120000.0,Architecture and Engineering Occupations
17-2031,Biomedical engineers,Bachelor's degree,None,2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974060999999994,62000,40000,91000.0,Architecture and Engineering Occupations
